"Country","Original Budget","Available Budget","Actual Expenditures","Carryover Budget","Expenditures to Date","Percentage Used","Comments","Comments","Year","Parent Category","Category"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Global","13190.00","13190.00","0.00","13190.00","11779.00","47.17","","","2020","Travel","Global Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
